ID_Pedido,Fecha_Pedido,Fecha_Entrega,ID_Cliente,Cliente,Ciudad,Region,Canal,Vendedor,SKU,Producto,Categoria,Unidades,Precio_Lista,Descuento_Porc,Precio_Final,Ingreso_Bruto,Ingreso_Neto,Costo_Logistico,Unidades_Devueltas,Estado_Entrega,Codigo_Promocion
PED010000,2025-10-21,2025-10-24,CL044,Café Ruta 11 ,Puebla,Centro,Autoservicio,Andrés Castañeda,SKU013,Café de Altura 340g,Especialidad,230,176,0.1354,152.17,40480,34999.1,3075.78,2,Entregado a tiempo,
PED010000,2025-10-27,2025-10-31,CL013,Mayoreo Sol del Pacífico MX ,Torreón,Norte,Autoservicio,Paola Luna,SKU002,Café Tradicional Molido 500g,Tradicional,88,148,0.1196,130.3,13024,11466.4,1199.12,0,Entregado a tiempo,
PED010001,2025-11-21,2025-11-24,CL019,Café y Punto Gourmet Comercial,Hermosillo,Norte,E-commerce,Andrés Castañeda,SKU003,Café Tradicional Grano 1kg,Tradicional,30,276,0.0442,263.8,8280,7914.0,1379.44,1,Entregado a tiempo,
PED010001,2025-11-13,2025-11-16,CL014,Comercializadora Horizonte Comercial,Saltillo,Norte,E-commerce,Valeria Solís,SKU005,Café Premium Molido 500g,Premium,2,224,0.0566,211.32,448,422.64,54.82,0,Entregado a tiempo,
PED010002,2025-11-19,2025-11-22,CL029,Tiendas Urbanas MX,Ciudad de México,Centro,Autoservicio,Sofía Gil,SKU003,Café Tradicional Grano 1kg,Tradicional,205,276,0.1046,247.13,56580,50661.65,4058.58,1,Entregado a tiempo,
PED010002,2025-12-13,2025-12-16,CL033,Mayoreo Sol del Pacífico Comercial,Querétaro,Centro,HORECA,Valeria Solís,SKU004,Café Premium Molido 250g,Premium,65,118,0.1074,105.33,7670,6846.45,852.09,2,Entregado a tiempo,
PED010003,2025-10-18,2025-10-24,CL069,Tiendas Urbanas MX S.A. de C.V.,Morelia,Occidente,HORECA,Iván Durán,SKU014,Blend Casa 1kg,Especialidad,111,396,0.0724,367.33,43956,40773.63,5267.42,1,Entregado a tiempo,
PED010003,2025-09-15,2025-09-21,CL039,Café y Punto Gourmet,Toluca,Centro,E-commerce,Iván Durán,SKU002,Café Tradicional Molido 500g,Tradicional,32,148,0.0136,145.99,4736,4671.68,770.04,2,Entregado a tiempo,
PED010004,2025-12-30,2026-01-02,CL013,Mayoreo Sol del Pacífico MX ,Torreón,Norte,HORECA,Andrés Castañeda,SKU018,Cold Brew Concentrado 1L,Bebidas listas,62,168,0.1183,148.13,10416,9184.06,1225.99,1,Entregado a tiempo,
PED010004,2025-11-16,2025-11-21,CL012,Tiendas Plaza Viva S. de R.L.,Monterrey,Norte,HORECA,Sofía Gil, SKU019,Drip Bags Selección 8 pzas,Especialidad,22,158,0.0799,145.38,3476,3198.36,412.22,0,Entregado a tiempo,
PED010005,2025-12-12,2025-12-15,CL017,Grupo Abasto Metropolitano S. de R.L.,Torreón,Norte,Autoservicio,Paola Luna,SKU002,Café Tradicional Molido 500g,Tradicional,181,148,0.1009,133.07,26788,24085.67,1823.48,0,Entregado a tiempo,
PED010005,2025-12-03,2025-12-04,CL029,Tiendas Urbanas MX,Ciudad de México,Centro,Autoservicio,Sofía Gil,SKU015,Cápsulas Clásicas 10 pzas,Cápsulas,233,96,0.1043,85.99,22368,20035.67,1368.01,5,Entregado a tiempo,
PED010006,2025-12-01,2025-12-14,CL036,Marketplace Espresso Shop S. de R.L.,CDMX,Centro,Mayoreo,Valeria Solís,SKU004,Café Premium Molido 250g,Premium,295,118,0.1116,104.83,34810,30924.85,2354.63,5,Entregado con atraso,
PED010006,2025-12-03,2025-12-08,CL059,Comercializadora Tostado Fino S.A. de C.V.,León,Occidente,Mayoreo,Andrés Castañeda,SKU001,Café Tradicional Molido 250g,Tradicional,184,78,0.1797,63.98,14352,11772.32,756.23,1,Entregado a tiempo,
PED010007,2025-12-21,2025-12-24,CL046,Grupo Abasto Metropolitano S. de R.L.,Ciudad de México,Centro,HORECA,Paola Luna,SKU017,Cápsulas Descafeinadas 10 pzas,Cápsulas,51,108,0.0734,100.07,5508,5103.57,484.02,1,Entregado a tiempo,
PED010007,2025-12-28,2025-12-29,CL072,Café de Barrio Premium Comercial,Aguascalientes,Occidente,E-commerce,Andrés Castañeda,SKU014,Blend Casa 1kg,Especialidad,2,396,0.0922,359.49,792,718.98,107.02,0,Entregado a tiempo,
PED010008,2025-09-21,2025-09-24,CL054,Café de Barrio Premium S.A. de C.V.,Aguascalientes,Occidente,HORECA,Valeria Solís,SKU006,Café Premium Grano 1kg,Premium,119,429,0.0907,390.09,51051,46420.71,5350.73,2,Entregado a tiempo,
PED010008,2025-11-26,2025-11-27,CL056,Mercados Unidos del Bajío MX,Aguascalientes,Occidente,HORECA,Iván Durán, SKU014,Blend Casa 1kg,Especialidad,11,396,0.0484,376.83,4356,4145.13,499.42,0,Entregado a tiempo,
PED010009,2025-10-19,2025-10-23,CL056,Mercados Unidos del Bajío MX,Aguascalientes,Occidente,HORECA,Andrés Castañeda,SKU010,Descafeinado Molido 250g,Descafeinado,112,124,0.0968,112.0,13888,12544.0,1320.35,0,Entregado a tiempo,
PED010009,2025-09-03,2025-09-15,CL038,Comercializadora Horizonte Comercial,Querétaro,Centro,Autoservicio,Luis Peña,SKU019,Drip Bags Selección 8 pzas,Especialidad,55,158,0.109,140.78,8690,7742.9,615.81,0,Entregado con atraso,
PED010010,2025-11-07,2025-11-13,CL066,Super Abarrotes La Sierra MX,Guadalajara,Occidente,HORECA,Paola Luna,SKU010,Descafeinado Molido 250g,Descafeinado,99,124,0.0393,119.13,12276,11793.87,1416.81,2,Entregado a tiempo,
PED010010,2025-12-22,2025-12-23,CL058,Marketplace Espresso Shop,Morelia,Occidente,Mayoreo,Luis Peña,SKU011,Descafeinado Molido 500g,Descafeinado,343,236,0.0979,212.9,80948,73024.7,5665.58,6,Entregado a tiempo,
PED010011,2025-11-22,2025-11-26,CL048,Bodega San Gabriel Comercial,Toluca,Centro,Autoservicio,Andrés Castañeda,SKU016,Cápsulas Intensas 10 pzas,Cápsulas,230,102,0.0863,93.2,23460,21436.0,2042.48,4,Entregado a tiempo,
PED010011,2025-12-01,2025-12-07,CL014,Comercializadora Horizonte Comercial,Saltillo,Norte,E-commerce,Iván Durán,SKU001,Café Tradicional Molido 250g,Tradicional,3,78,0.0524,73.91,234,221.73,43.33,0,Entregado a tiempo,
PED010012,2025-09-13,2025-09-15,CL043,Mercados Unidos del Bajío Comercial,Toluca,Centro,Mayoreo,Valeria Solís,SKU011,Descafeinado Molido 500g,Descafeinado,169,236,0.1757,194.53,39884,32875.57,1944.88,3,Entregado a tiempo,
PED010012,2025-12-11,2025-12-13,CL072,Café de Barrio Premium Comercial,Aguascalientes,Occidente,E-commerce,Luis Peña,SKU005,Café Premium Molido 500g,Premium,6,224,0.0018,223.6,1344,1341.6,194.0,0,Entregado a tiempo,
PED010013,2025-11-24,2025-11-30,CL065,Grupo Abasto Metropolitano S. de R.L.,Guadalajara,Occidente,Autoservicio,Paola Luna,SKU005,Café Premium Molido 500g,Premium,208,224,0.0777,206.6,46592,42972.8,3188.77,3,Entregado a tiempo,
PED010013,2025-09-30,2025-10-02,CL037,Cadena Selecta Retail MX,Querétaro,Centro,HORECA,Valeria Solís,SKU011,Descafeinado Molido 500g,Descafeinado,53,236,0.0992,212.59,12508,11267.27,1149.53,1,Entregado a tiempo,
PED010014,2025-12-21,2025-12-24,CL007,Cafe de Barrio Premium S. de R.L.,Chihuahua,Norte,HORECA,Andrés Castañeda,SKU006,Café Premium Grano 1kg,Premium,42,429,0.0762,396.31,18018,16645.02,1521.22,1,Entregado a tiempo,
PED010014,2025-10-20,2025-10-24,CL065,Grupo Abasto Metropolitano S. de R.L.,Guadalajara,Occidente,HORECA,Luis Peña,SKU019 ,Drip Bags Selección 8 pzas,Especialidad,46,158,0.1012,142.01,7268,6532.46,691.7,1,Entregado a tiempo,
PED010015,2025-12-16,2025-12-23,CL003,Tiendas Urbanas MX MX,Chihuahua,Norte,Autoservicio,Iván Durán,SKU002,Café Tradicional Molido 500g,Tradicional,198,148,0.0511,140.44,29304,27807.12,2511.37,1,Entregado con atraso,
PED010015,2025-09-01,2025-09-05,CL019,Café y Punto Gourmet Comercial,Hermosillo,Norte,E-commerce,Andrés Castañeda,SKU013,Café de Altura 340g,Especialidad,27,176,0.0975,158.84,4752,4288.68,704.86,2,Entregado a tiempo,
PED010016,2025-09-03,2025-09-07,CL048,Bodega San Gabriel Comercial,Toluca,Centro,E-commerce,Sofía Gil,SKU005,Café Premium Molido 500g,Premium,16,224,0.0582,210.96,3584,3375.36,572.61,0,Entregado a tiempo,
PED010016,2025-12-09,2025-12-15,CL018,Distribuidora Monte Claro MX,Hermosillo,Norte,HORECA,Luis Peña,SKU018,Cold Brew Concentrado 1L,Bebidas listas,11,168,0.0579,158.27,1848,1740.97,224.6,0,Entregado a tiempo,
PED010017,2025-12-12,2025-12-16,CL043,Mercados Unidos del Bajío Comercial,Toluca,Centro,Mayoreo,Sofía Gil,SKU006,Café Premium Grano 1kg,Premium,228,429,0.1007,385.8,97812,87962.4,6485.81,2,Entregado a tiempo,
PED010017,2025-09-14,2025-09-15,CL070,Distribuidora Cafetalera del Norte S. de R.L.,Puerto Vallarta,Occidente,E-commerce,Valeria Solís,SKU001,Café Tradicional Molido 250g,Tradicional,20,78,0.069,72.62,1560,1452.4,219.77,1,Entregado a tiempo,
PED010018,2025-12-31,2026-01-04,CL066,Super Abarrotes La Sierra MX,Guadalajara,Occidente,Mayoreo,Paola Luna,SKU001,Café Tradicional Molido 250g,Tradicional,335,78,0.0883,71.11,26130,23821.85,1365.79,5,Entregado a tiempo,
PED010018,2025-11-23,2025-11-24,CL047,Tiendas Urbanas MX MX,Puebla,Centro,Autoservicio,Andrés Castañeda,SKU003,Café Tradicional Grano 1kg,Tradicional,41,276,0.0918,250.66,11316,10277.06,1053.88,0,Entregado a tiempo,
PED010019,2025-11-30,2025-12-02,CL012,Tiendas Plaza Viva S. de R.L.,Monterrey,Norte,E-commerce,Paola Luna,SKU001 ,Café Tradicional Molido 250g,Tradicional,20,78,0.07,72.54,1560,1450.8,207.4,1,Entregado a tiempo,
