ID_Cliente,Cliente,Segmento_Cliente,Canal_Preferente,Ciudad,Region,Ejecutivo,Limite_Credito,Clasificacion
CL001,Café y Punto Gourmet S.A. de C.V.,Minorista independiente,Autoservicio,Hermosillo,Norte,Mariana Cruz,250000,C
CL002,Super Abarrotes La Sierra S. de R.L.,Distribuidor regional,E-commerce,Monterrey,Norte,Diana Soto,250000,A
CL003,Tiendas Urbanas MX MX,Cadena nacional,Autoservicio,Chihuahua,Norte,Ana Ríos,250000,C
CL004,Comercializadora Tostado Fino Comercial,Cafetería premium,HORECA,Hermosillo,Norte,Pablo Vela,400000,B
CL005,Bodega San Gabriel,Cadena nacional,Mayoreo,Torreón,Norte,Pablo Vela,600000,C
CL006,Mercados Unidos del Bajío S.A. de C.V.,Marketplace,Autoservicio,Chihuahua,Norte,Ana Ríos,120000,B
CL007,Cafe de Barrio Premium S. de R.L.,Cadena nacional,HORECA,Chihuahua,Norte,Ana Ríos,400000,A
CL008,Distribuidora Cafetalera del Norte MX,Distribuidor regional,Mayoreo,Chihuahua,Norte,Carlos Mejía,250000,B
CL009,Café Ruta 11 Comercial,Marketplace,E-commerce,Monterrey,Norte,Mariana Cruz,180000,A
CL010,Corporativo Delta Servicios,Cafetería premium,HORECA,Torreón,Norte,Pablo Vela,600000,A
CL011,Cafetería Estación Central S.A. de C.V.,Cadena nacional,Autoservicio,Chihuahua,Norte,Ana Ríos,250000,B
CL012,Tiendas Plaza Viva S. de R.L.,Distribuidor regional,HORECA,Monterrey,Norte,Mariana Cruz,250000,A
CL013,Mayoreo Sol del Pacífico MX ,Minorista independiente,HORECA,Torreón,Norte,Pablo Vela,400000,A
CL014,Comercializadora Horizonte Comercial,Distribuidor regional,E-commerce,Saltillo,Norte,Mariana Cruz,250000,B
CL015,Marketplace Espresso Shop,Marketplace,Mayoreo,Torreón,Norte,Carlos Mejía,180000,B
CL016,Cadena Selecta Retail S.A. de C.V.,Cadena nacional,HORECA,Monterrey,Norte,Carlos Mejía,180000,C
